2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 4
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 3
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 5
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 7
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 0
2022-12-19 01:31:38 INFO  BoardController:98 - textfield changed from  to 1
2022-12-19 01:31:44 INFO  BoardController:98 - textfield changed from 0 to 
2022-12-19 01:31:44 INFO  BoardController:98 - textfield changed from  to 5
2022-12-19 01:32:24 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:32:24 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:32:26 INFO  BoardController:107 - textfield changed from 0 to 
2022-12-19 01:32:26 INFO  BoardController:107 - textfield changed from  to 2
2022-12-19 01:32:28 INFO  BoardController:107 - textfield changed from 2 to 
2022-12-19 01:32:28 INFO  BoardController:107 - textfield changed from  to x
2022-12-19 01:32:28 INFO  BoardController:107 - textfield changed from x to 
2022-12-19 01:32:29 INFO  BoardController:107 - textfield changed from  to 0
2022-12-19 01:36:36 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:36:36 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:36:41 INFO  BoardController:108 - textfield changed from  to 4
2022-12-19 01:36:43 INFO  BoardController:108 - textfield changed from  to 4
2022-12-19 01:40:07 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:40:07 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:40:09 INFO  BoardController:107 - textfield changed from 0 to 
2022-12-19 01:40:09 INFO  BoardController:107 - textfield changed from  to 5
2022-12-19 01:40:10 INFO  BoardController:107 - textfield changed from 5 to 
2022-12-19 01:42:53 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:42:53 INFO  BoardController:89 - Stworzono sudoku
2022-12-19 01:49:22 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:49:22 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:49:24 INFO  BoardController:107 - textfield changed from 0 to 
2022-12-19 01:49:46 INFO  BoardController:107 - textfield changed from  to 1
2022-12-19 01:50:00 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:50:00 INFO  BoardController:87 - Stworzono sudoku
2022-12-19 01:50:03 INFO  BoardController:107 - textfield changed from 0 to 01
2022-12-19 01:50:04 INFO  BoardController:107 - textfield changed from 01 to 1
2022-12-19 01:51:04 INFO  Controller:131 - Zaladowano gre na poziomie srednim
2022-12-19 01:51:04 INFO  BoardController:87 - Stworzono sudoku
